127.0.0.1 - - [04/Jul/2018:12:53:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:53:48 +0530] "GET /skillassessment/home.jsp HTTP/1.1" 200 10902
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:54:02 +0530] "GET /skillassessment/employeepage.jsp HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:54:05 +0530] "GET /skillassessment/registerform.jsp? HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:54:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:54:41 +0530] "GET /skillassessment/employeelogin.jsp? HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:55:22 +0530] "GET /skillassessment/employeeloginaction.jsp?usrname=&pass= HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:55:26 +0530] "GET /skillassessment/employeelogin.jsp? HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:55:30 +0530] "GET /skillassessment/emppage.jsp?usrname=&pass= HTTP/1.1" 500 6215
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:55:48 +0530] "GET /skillassessment/employeelogin.jsp HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:55:52 +0530] "GET /skillassessment/emppage.jsp?usrname=&pass= HTTP/1.1" 500 6215
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:56:09 +0530] "GET /skillassessment/emppage.jsp?usrname=&pass= HTTP/1.1" 200 8897
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:56:15 +0530] "GET /skillassessment/skillsetloginpage.jsp? HTTP/1.1" 200 10994
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:56:44 +0530] "GET /skillassessment/empprofile.jsp? HTTP/1.1" 500 3882
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:57:12 +0530] "GET /skillassessment/emppage.jsp?usrname=&pass= HTTP/1.1" 200 8897
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:57:13 +0530] "GET /skillassessment/empprofile.jsp? HTTP/1.1" 500 3882
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:57:25 +0530] "GET /skillassessment/skillsetloginpage.jsp? HTTP/1.1" 200 10970
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:57:28 +0530] "GET /skillassessment/contactus.jsp HTTP/1.1" 200 17000
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:57:35 +0530] "GET /skillassessment/employeepage.jsp HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:57:39 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9485
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:08 +0530] "GET /skillassessment/hractionpage.jsp?usr=&pwd= HTTP/1.1" 200 9776
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:10 +0530] "GET /skillassessment/hractionpage.jsp?usr=&pwd= HTTP/1.1" 200 9776
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:12 +0530] "GET /skillassessment/hrhomepage.jsp?usr=&pwd= HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:13 +0530] "GET /skillassessment/hremployeedetailspage.jsp? HTTP/1.1" 200 8798
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:17 +0530] "GET /skillassessment/skillsetapplyperson.jsp? HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:44 +0530] "GET /skillassessment/skillsetapplyperson.jsp? HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:49 +0530] "GET /skillassessment/skillsetapplyperson.jsp? HTTP/1.1" 200 8794
